model_key,relationship,certainty,n,within_10_yes,raw_probability,adjusted_probability,se,ci_low,ci_high
claude-sonnet-5,mom,1,240,2,0.008333333333333333,0.008333333333336718,0.0073620259393742185,-0.006096237507836751,0.022762904174510185
claude-sonnet-5,mom,2,240,113,0.4708333333333333,0.470833333333334,0.026023820442030797,0.4198266452669536,0.5218400213997143
claude-sonnet-5,mom,3,240,225,0.9375,0.9375000000000044,0.014414916288647661,0.909246764074255,0.9657532359257539
claude-sonnet-5,mom,4,240,236,0.9833333333333333,0.9833333333333325,0.009548724099704222,0.9646178340979122,1.0020488325687529
claude-sonnet-5,mommy,1,239,31,0.1297071129707113,0.12972805662245612,0.021506344826776193,0.08757562076197478,0.17188049248293746
claude-sonnet-5,mommy,2,239,136,0.5690376569037657,0.5678158249110311,0.026723963133174624,0.5154368571700089,0.6201947926520534
claude-sonnet-5,mommy,3,240,224,0.9333333333333333,0.9333333333333333,0.0158582496728326,0.9022511639745815,0.9644155026920852
claude-sonnet-5,mommy,4,240,238,0.9916666666666667,0.9916666666666623,0.0071743752749364766,0.9776048911277868,1.0057284422055377
claude-sonnet-5,wife,1,150,0,0.0,-0.013115884793779412,0.006381447000738087,-0.025623520915226062,-0.0006082486723327611
claude-sonnet-5,wife,2,237,39,0.16455696202531644,0.1607254743560031,0.022597650496639435,0.1164340793825898,0.20501686932941637
claude-sonnet-5,wife,3,240,194,0.8083333333333333,0.8083333333333363,0.022850399900966278,0.7635465495274425,0.8531201171392302
claude-sonnet-5,wife,4,240,237,0.9875,0.987499999999998,0.007790752503561235,0.972230125093018,1.002769874906978
gpt-5.6-terra,boyfriend,1,240,0,0.0,9.998946115530316e-15,0.0031495860145308624,-0.0061731885884704915,0.0061731885884904894
gpt-5.6-terra,boyfriend,2,240,153,0.6375,0.6374999999999943,0.026024359982730075,0.5864922544338433,0.6885077455661452
gpt-5.6-terra,boyfriend,3,240,240,1.0,0.9999999999999946,0.0052794162159662565,0.9896523442167007,1.0103476557832884
gpt-5.6-terra,boyfriend,4,240,240,1.0,0.9999999999999951,0.0052794162159662756,0.9896523442167012,1.0103476557832891
gpt-5.6-terra,dad,1,240,80,0.3333333333333333,0.3333333333333442,0.02888710978121018,0.27671459816217225,0.38995206850451614
gpt-5.6-terra,dad,2,240,240,1.0,0.9999999999999973,0.004456569645808859,0.9912651234942119,1.0087348765057826
gpt-5.6-terra,dad,3,240,240,1.0,0.999999999999993,0.003235293722035051,0.9936588243048043,1.0063411756951817
gpt-5.6-terra,dad,4,240,240,1.0,0.9999999999999967,0.0032352937220350127,0.993658824304808,1.0063411756951852
gpt-5.6-terra,daddy,1,240,49,0.20416666666666666,0.20416666666667402,0.025100756735802924,0.15496918346450028,0.25336414986884775
gpt-5.6-terra,daddy,2,240,233,0.9708333333333333,0.9708333333333281,0.011267998909799355,0.9487480554701214,0.9929186111965348
gpt-5.6-terra,daddy,3,240,240,1.0,0.9999999999999923,0.002898569534093413,0.9943188037131693,1.0056811962868155
gpt-5.6-terra,daddy,4,240,240,1.0,0.9999999999999942,0.002898569534093616,0.9943188037131707,1.0056811962868177
gpt-5.6-terra,girlfriend,1,240,0,0.0,7.41073868937292e-15,0.0029730706306544206,-0.0058272184360752535,0.005827218436090075
gpt-5.6-terra,girlfriend,2,240,172,0.7166666666666667,0.716666666666661,0.02433181625373666,0.6689763068093372,0.7643570265239849
gpt-5.6-terra,girlfriend,3,240,240,1.0,0.999999999999993,0.004886459751981018,0.9904225388861102,1.0095774611138757
gpt-5.6-terra,girlfriend,4,240,240,1.0,0.999999999999996,0.004886459751981047,0.9904225388861132,1.0095774611138788
